id,title,year,venue,authors
conf/vldb/GohOST99, GHOST: Fine Granularity Buffering of Indexes,1999,VLDB,Cheng Hian Goh  Kian-Lee Tan  Beng Chin Ooi  D. Sim
conf/vldb/Banerjee00, A Database Platform for Bioinformatics,2000,VLDB,Sandeepan Banerjee
conf/sigmod/LiVCAHMWBCHIKSS99, PowerBookmarks: A System for Personalizable Web Information Organization  Sharing  and Management,1999,SIGMOD Conference,Kazuyuki Shimazu  Sougata Mukherjea  Yi-Leh Wu  Divyakant Agrawal  Kyoji Hirata  Yukiyoshi Saito  Quoc Vu  Corey Bufi  Wen-Syan Li  Kevin Chen-Chuan Chang  Edward Y. Chang  Reiko Ito  Yoshinori Hara  Yutaka Kimura
journals/tods/LitwinN96, LH* - A Scalable  Distributed Data Structure,1996,ACM Trans. Database Syst.,Donovan A. Schneider  Marie-Anne Neimat  Witold Litwin
conf/vldb/NgY94, Maximizing Buffer and Disk Utilizations for News On-Demand,1994,VLDB,Raymond T. Ng  Jinhai Yang
conf/vldb/ShanmugasundaramGTZDN99, Relational Databases for Querying XML Documents: Limitations and Opportunities,1999,VLDB,Jeffrey F. Naughton  Kristin Tufte  Chun Zhang  Gang He  David J. DeWitt  Jayavel Shanmugasundaram
conf/sigmod/KoudasS03, Panel: Querying Networked Databases,2003,SIGMOD Conference,Divesh Srivastava  Nick Koudas
conf/sigmod/LibkinMW96, A Query Language for Multidimensional Arrays: Design  Implementation  and Optimization Techniques,1996,SIGMOD Conference,Limsoon Wong  Rona Machlin  Leonid Libkin
conf/vldb/SistlaYH94, Reasoning About Spatial Relationships in Picture Retrieval Systems,1994,VLDB,Clement T. Yu  A. Prasad Sistla  R. Haddad
conf/vldb/ImielinskiB02, Wireless Graffiti - Data  Data Everywhere Matters,2002,VLDB,Tomasz Imielinski  B. R. Badrinath
journals/sigmod/GroskyFS94, Using Metadata for the Intelligent Browsing of Structured Media Objects,1994,SIGMOD Record,William I. Grosky  Farshad Fotouhi  Ishwar K. Sethi
journals/vldb/HelmerM03, A performance study of four index structures for set-valued attributes of low cardinality,2003,VLDB J.,Guido Moerkotte  Sven Helmer
conf/vldb/MuntzR94, A Requirement-Based Approach to Data Modeling and Re-Engineering,1994,VLDB,Christian T. Ramiller  Alice H. Muntz
journals/sigmod/Franklin97a, Editor's Notes,1997,SIGMOD Record,Michael J. Franklin
conf/vldb/NgC97, Integrating Reliable Memory in Databases,1997,VLDB,Peter M. Chen  Wee Teck Ng
conf/vldb/KraissW97, Vertical Data Migration in Large Near-Line Document Archives Based on Markov-Chain Predictions,1997,VLDB,Achim Kraiss  Gerhard Weikum
conf/sigmod/KangN03, On Schema Matching with Opaque Column Names and Data Values,2003,SIGMOD Conference,Jaewoo Kang  Jeffrey F. Naughton
conf/sigmod/WhitneyS01, Lots o' Ticks: Real-Time High Performance Time Series Queries on Billions of Trades and Quotes,2001,SIGMOD Conference,Arthur T. Whitney  Dennis Shasha
journals/sigmod/Domingo-FerrerH98, An Anonymous Electronic Commerce Scheme with an Off-Line Authority and Untrusted Agents,1998,SIGMOD Record,Josep Domingo-Ferrer  Jordi Herrera-Joancomart�
conf/vldb/Sacks-Davis96, The Structured Information Manager: A Database System for SGML Documents,1996,VLDB,Ron Sacks-Davis
journals/sigmod/Finkelstein95, The New Middleware,1995,SIGMOD Record,Rich Finkelstein
conf/vldb/Moni96, DISNIC-PLAN: A NICNET Based Distributed Database for Micro-level Planning in India,1996,VLDB,M. Moni
journals/vldb/KashyapS96, Semantic and Schematic Similarities Between Database Objects: A Context-Based Approach,1996,VLDB J.,Vipul Kashyap  Amit P. Sheth
conf/vldb/Nori02, eBusiness Standards and Architectures,2002,VLDB,Anil Nori
journals/sigmod/JainH94, Metadata in Video Databases,1994,SIGMOD Record,Ramesh Jain  Arun Hampapur
conf/vldb/BrodieC99, Issues in Network Management in the Next Millennium,1999,VLDB,Michael L. Brodie  Surajit Chaudhuri
conf/sigmod/KiesslingHFE01, COSIMA - Your Smart  Speaking E-Salesperson,2001,SIGMOD Conference,Werner Kie�ling  Thorsten Ehm  Stefan Holland  Stefan Fischer 0003
conf/vldb/LakshmananSS99, On Efficiently Implementing SchemaSQL on an SQL Database System,1999,VLDB,Fereidoon Sadri  Laks V. S. Lakshmanan  Subbu N. Subramanian
journals/vldb/AbiteboulB95, The Power of Languages for the Manipulation of Complex Values,1995,VLDB J.,Serge Abiteboul  Catriel Beeri
conf/sigmod/GuptaS03, Stream Processing of XPath Queries with Predicates,2003,SIGMOD Conference,Ashish Kumar Gupta  Dan Suciu
journals/vldb/ShegalovGW01, XML-enabled workflow management for e-services across heterogeneous platforms,2001,VLDB J.,Michael Gillmann  German Shegalov  Gerhard Weikum
conf/vldb/Wang95, DB2 Query Parallelism: Staging and Implementation,1995,VLDB,Yun Wang
conf/sigmod/MattosM95, An Overview of the Emerging Third-Generation SQL Standard (Tutorial),1995,SIGMOD Conference,Nelson Mendon�a Mattos  Jim Melton
conf/sigmod/Hidber99, Online Association Rule Mining,1999,SIGMOD Conference,Christian Hidber
conf/vldb/BrightR02, Using Latency-Recency Profiles for Data Delivery on the Web,2002,VLDB,Louiqa Raschid  Laura Bright
conf/vldb/KoschBBHHLRT01, SMOOTH - A Distributed Multimedia Database System,2001,VLDB,Christian Hanin  Roland Tusch  Carmen Riedler  Harald Kosch  Margit Lang  L�szl� B�sz�rm�nyi  Christian Hofbauer  Alexander Bachlechner
journals/vldb/GibsonKR00, Clustering Categorical Data: An Approach Based on Dynamical Systems,2000,VLDB J.,David Gibson  Jon M. Kleinberg  Prabhakar Raghavan
conf/vldb/Tsur00, Data Mining in the Bioinformatics Domain,2000,VLDB,Shalom Tsur
conf/sigmod/ZhaoDNS98, Simultaneous Optimization and Evaluation of Multiple Dimensional Queries,1998,SIGMOD Conference,Amit Shukla  Jeffrey F. Naughton  Yihong Zhao  Prasad Deshpande
conf/sigmod/Martin94, COSS: The Common Object Services Specifications,1994,SIGMOD Conference,Bruce E. Martin
conf/sigmod/Nori00, Application Architecture: 2Tier or 3Tier? What is DBMS's Role? (Panel Abstract),2000,SIGMOD Conference,Anil Nori
journals/tods/ParsonsW00, Emancipating instances from the tyranny of classes in information modeling,2000,ACM Trans. Database Syst.,Jeffrey Parsons  Yair Wand
conf/vldb/ChenJLP03, From Tree Patterns to Generalized Tree Patterns: On Efficient Evaluation of XQuery,2003,VLDB,Zhimin Chen  Stelios Paparizos  H. V. Jagadish  Laks V. S. Lakshmanan
conf/sigmod/LiuHBPT99, An XML-based Wrapper Generator for Web Information Extraction,1999,SIGMOD Conference,David Buttler  Wei Tang  Calton Pu  Wei Han  Ling Liu
conf/sigmod/Amer-YahiaFSX03, PIX: Exact and Approximate Phrase Matching in XML,2003,SIGMOD Conference,Yu Xu  Mary F. Fernandez  Sihem Amer-Yahia  Divesh Srivastava
conf/vldb/SundaraHCAS01, Developing an Indexing Scheme for XML Document Collection using the Oracle8i Extensibility Framework,2001,VLDB,Ying Hu  Timothy Chorma  Nipun Agarwal  Seema Sundara  Jagannathan Srinivasan
conf/vldb/ManolescuFK01, Answering XML Queries on Heterogeneous Data Sources,2001,VLDB,Ioana Manolescu  Donald Kossmann  Daniela Florescu
journals/sigmod/QuixSJ02, Business Data Management for B2B Electronic Commerce,2002,SIGMOD Record,Manfred A. Jeusfeld  Mareike Schoop  Christoph Quix
conf/vldb/May01, LoPiX: A System for XML Data Integration and Manipulation,2001,VLDB,Wolfgang May
journals/tods/HsuSY01, I/O reference behavior of production database workloads and the TPC benchmarks - an analysis at the logical level,2001,ACM Trans. Database Syst.,Windsor W. Hsu  Alan Jay Smith  Honesty C. Young
conf/vldb/AilamakiDHS01, Weaving Relations for Cache Performance,2001,VLDB,Mark D. Hill  Anastassia Ailamaki  David J. DeWitt  Marios Skounakis
conf/vldb/GottlobKP02, Efficient Algorithms for Processing XPath Queries,2002,VLDB,Reinhard Pichler  Georg Gottlob  Christoph Koch
conf/sigmod/SagonasSW94, XSB as an Efficient Deductive Database Engine,1994,SIGMOD Conference,David Scott Warren  Konstantinos F. Sagonas  Terrance Swift
journals/sigmod/FowlerPNB99, Agent-Based Semantic Interoperability in InfoSleuth,1999,SIGMOD Record,Bruce Bargmeyer  Brad Perry  Jerry Fowler  Marian H. Nodine
journals/sigmod/Suciu02, The XML Typechecking Problem,2002,SIGMOD Record,Dan Suciu
conf/sigmod/TrisoliniLN99, Data Integration and Warehousing in Telecom Italia,1999,SIGMOD Conference,Daniele Nardi  Maurizio Lenzerini  Stefano Trisolini
conf/sigmod/BumbulisB02, A compact B-tree,2002,SIGMOD Conference,Ivan T. Bowman  Peter Bumbulis
conf/sigmod/MaheshwariL97, Partitioned Garbage Collection of Large Object Store,1997,SIGMOD Conference,Barbara Liskov  Umesh Maheshwari
journals/tods/CeriFPT95, Addendum to Automatic Generation of Production Rules for Integrity Maintenance,1995,ACM Trans. Database Syst.,Letizia Tanca  Stefano Paraboschi  Piero Fraternali  Stefano Ceri
journals/sigmod/Jarke95, Information Systems Research at RWTH Aachen,1995,SIGMOD Record,Matthias Jarke
conf/sigmod/Galindo-LegariaJ01, Orthogonal Optimization of Subqueries and Aggregation,2001,SIGMOD Conference,Milind Joshi  C�sar A. Galindo-Legaria
journals/vldb/CuiW03, Lineage tracing for general data warehouse transformations,2003,VLDB J.,Jennifer Widom  Yingwei Cui
journals/sigmod/BollKB98, Design and Implementation of RMP - A Virtual Electronic Market Place,1998,SIGMOD Record,Wolfgang Klas  Susanne Boll  Bernard Battaglin
conf/vldb/HjelsvoldM94, Modelling and Querying Video Data,1994,VLDB,Rune Hjelsvold  Roger Midtstraum
conf/vldb/Atal96, The XPS Approach to Loading and Unloading Terabyte Databases,1996,VLDB,Sanket Atal
conf/vldb/RahmM95, Dynamic Multi-Resource Load Balancing in Parallel Database Systems,1995,VLDB,Robert Marek  Erhard Rahm
conf/sigmod/BreitbartKRSS99, Update Propagation Protocols For Replicated Databases,1999,SIGMOD Conference,Raghavan Komondoor  Abraham Silberschatz  Yuri Breitbart  S. Seshadri  Rajeev Rastogi
journals/tods/TaoPZ02, Cost models for overlapping and multiversion structures,2002,ACM Trans. Database Syst.,Yufei Tao  Jun Zhang  Dimitris Papadias
journals/sigmod/StolfoLCFE01, Data Mining-based Intrusion Detectors: An Overview of the Columbia IDS Project,2001,SIGMOD Record,Wenke Lee  Eleazar Eskin  Wei Fan  Salvatore J. Stolfo  Philip K. Chan
conf/sigmod/RodriguezR00, MOCHA: A Self-Extensible Database Middleware System for Distributed Data Sources,2000,SIGMOD Conference,Manuel Rodriguez-Martinez  Nick Roussopoulos
journals/tods/LakshmananLRS97, ProbView: A Flexible Probabilistic Database System,1997,ACM Trans. Database Syst.,Nicola Leone  Robert Ross  Laks V. S. Lakshmanan  V. S. Subrahmanian
conf/sigmod/DattaDTVSR02, Proxy-based acceleration of dynamically generated content on the world wide web: an approach and implementation,2002,SIGMOD Conference,Suresha  Kaushik Dutta  Krithi Ramamritham  Anindya Datta  Helen M. Thomas  Debra E. VanderMeer
conf/vldb/Hallmark95, The Oracle Warehouse,1995,VLDB,Gary Hallmark
journals/sigmod/MalaikaEM03, Standards for databases on the grid,2003,SIGMOD Record,Andrew Eisenberg  Jim Melton  Susan Malaika
conf/vldb/MohanBWSZ00, Evolution of Groupware for Business Applications: A Database Perspective on Lotus Domino/Notes,2000,VLDB,C. Mohan  S. Watts  Ron Barber  Amit Somani  Markos Zaharioudakis
journals/tods/HjaltasonS03, Index-driven similarity search in metric spaces,2003,ACM Trans. Database Syst.,G�sli R. Hjaltason  Hanan Samet
journals/sigmod/BuchnerM98, Discovering Internet Marketing Intelligence through Online Analytical Web Usage Mining,1998,SIGMOD Record,Alex G. B�chner  Maurice D. Mulvenna
conf/vldb/GrovlenHT98, Low-Cost Compensation-Based Query Processing,1998,VLDB,�ystein Torbj�rnsen  �ystein Gr�vlen  Svein-Olaf Hvasshovd
journals/sigmod/Liu03a, Editor's Notes,2003,SIGMOD Record,Ling Liu
conf/sigmod/Stonebraker03, Visionary: A Next Generation Visualization System for Databases,2003,SIGMOD Conference,Michael Stonebraker
conf/vldb/HaasB03, BHUNT: Automatic Discovery of Fuzzy Algebraic Constraints in Relational Data,2003,VLDB,Peter J. Haas  Paul Brown
conf/vldb/LeslieJBY95, Efficient Search of Multi-Dimensional B-Trees,1995,VLDB,Dave Birdsall  Hedieh Yaghmai  Harry Leslie  Rohit Jain
conf/vldb/Kleewein96, Practical Issues with Commercial Use of Federated Databases,1996,VLDB,Jim Kleewein
journals/sigmod/EnglertGH95, Parallelism and its Price: A Case Study of NonStop SQL/MP,1995,SIGMOD Record,Susanne Englert  Ray Glasstone  Waqar Hasan
conf/vldb/Pound99, In Cyber Space No One can Hear You Scream,1999,VLDB,Chris Pound
journals/sigmod/YuenCLL00, Cache Invalidation Scheme for Mobile Computing Systems with Real-time Data,2000,SIGMOD Record,Hei-Wing Leung  Joe Chun-Hung Yuen  Edward Chan  Kam-yiu Lam
conf/vldb/RisheYACLMVSV00, Semantic Access: Semantic Interface for Querying Databases,2000,VLDB,Naphtali Rishe  Rukshan Athauda  Artyom Shaposhnikov  Jun Yuan  Dmitry Vasilevsky  Xiaoling Lu  Xiaobin Ma  Shu-Ching Chen  Alexander Vaschillo
journals/tods/LeveneL99, Database Design for Incomplete Relations,1999,ACM Trans. Database Syst.,Mark Levene  George Loizou
conf/sigmod/HellersteinW02, Data streams: fresh current or stagnant backwater? (panel),2002,SIGMOD Conference,Joseph M. Hellerstein  Jennifer Widom
conf/vldb/AgrawalKSX02, Hippocratic Databases,2002,VLDB,Yirong Xu  Jerry Kiernan  Rakesh Agrawal  Ramakrishnan Srikant
journals/tods/KemmeA00, A new approach to developing and implementing eager database replication protocols,2000,ACM Trans. Database Syst.,Gustavo Alonso  Bettina Kemme
conf/vldb/RysNS96, Intra-Transaction Parallelism in the Mapping of an Object Model to a Relational Multi-Processor System,1996,VLDB,Moira C. Norrie  Hans-J�rg Schek  Michael Rys
journals/vldb/WangW01, Indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,2001,VLDB J.,Xiaoyang Sean Wang  Changzhou Wang
journals/sigmod/Bussler02, The Role of B2B Engines in B2B Integration Architectures,2002,SIGMOD Record,Christoph Bussler
journals/sigmod/RiekertMW97, Management of Data and Services in the Environmental Information System (UIS) of Baden-W�rttemberg,1997,SIGMOD Record,Wolf-Fritz Riekert  Roland Mayer-F�ll  Gerlinde Wiest
conf/sigmod/Hammond99, Merge Replication in Microsoft's SQL Server 7.0,1999,SIGMOD Conference,Brad Hammond
conf/sigmod/PapakonstantinouPV02, QURSED: querying and reporting semistructured data,2002,SIGMOD Conference,Yannis Papakonstantinou  Michalis Petropoulos  Vasilis Vassalos
conf/vldb/KumaranH03, On the Costs of Multilingualism in Database Systems,2003,VLDB,A. Kumaran  Jayant R. Haritsa
journals/sigmod/AshishK97, Wrapper Generation for Semi-structured Internet Sources,1997,SIGMOD Record,Craig A. Knoblock  Naveen Ashish
conf/sigmod/GunopulosD01, Time Series Similarity Measures and Time Series Indexing,2001,SIGMOD Conference,Gautam Das  Dimitrios Gunopulos
journals/sigmod/Snodgrass00b, Chair's Message,2000,SIGMOD Record,Richard T. Snodgrass
conf/sigmod/HanFWCZK96, DBMiner: Interactive Mining of Multiple-Level Knowledge in Relational Databases,1996,SIGMOD Conference,Wei Wang  Krzysztof Koperski  Yongjian Fu  Osmar R. Za�ane  Jenny Chiang  Jiawei Han
conf/sigmod/ZaharioudakisCLPU00, Answering Complex SQL Queries Using Automatic Summary Tables,2000,SIGMOD Conference,Roberta Cochrane  Hamid Pirahesh  Monica Urata  Markos Zaharioudakis  George Lapis
conf/vldb/AmsalegFG95, Efficient Incremental Garbage Collection for Client-Server Object Database Systems,1995,VLDB,Laurent Amsaleg  Olivier Gruber  Michael J. Franklin
conf/sigmod/LacroixSC98, User-oriented smart-cache for the Web: What You Seek is What You Get!,1998,SIGMOD Conference,Arnaud Sahuguet  Raman Chandrasekar  Zo� Lacroix
conf/vldb/RizviH02, Maintaining Data Privacy in Association Rule Mining,2002,VLDB,Shariq Rizvi  Jayant R. Haritsa
conf/vldb/PottingerB03, Merging Models Based on Given Correspondences,2003,VLDB,Philip A. Bernstein  Rachel Pottinger
journals/sigmod/Wiegand03, Review of Spatial databases with application to GIS by Philippe Rigaux  Michel Scholl  and Agnes Voisard. Morgan Kaufmann 2002,2003,SIGMOD Record,Nancy Wiegand
conf/sigmod/WangSSZZW00, An Approximate Search Engine for Structural Databases,2000,SIGMOD Conference,Kaizhong Zhang  Qicheng Ma  Jason Tsong-Li Wang  Xinhuan Zheng  Xiong Wang  Dennis Shasha  Zasha Weinberg  Bruce A. Shapiro
journals/vldb/Halevy01, Answering queries using views: A survey,2001,VLDB J.,Alon Y. Halevy
conf/sigmod/LiCHH97, SEMCOG: An Object-based Image Retrieval System and Its Visual Query Interface,1997,SIGMOD Conference,K. Sel�uk Candan  Wen-Syan Li  Kyoji Hirata  Yoshinori Hara
conf/vldb/CormodeKMS03, Finding Hierarchical Heavy Hitters in Data Streams,2003,VLDB,Graham Cormode  Flip Korn  S. Muthukrishnan  Divesh Srivastava
conf/vldb/Sullivan96, Tribeca: A Stream Database Manager for Network Traffic Analysis,1996,VLDB,Mark Sullivan
journals/vldb/DeyBS96, A Complete Temporal Relational Algebra,1996,VLDB J.,Debabrata Dey  Veda C. Storey  Terence M. Barron
journals/sigmod/SpynsMJ02, Data Modelling versus Ontology Engineering,2002,SIGMOD Record,Mustafa Jarrar  Peter Spyns  Robert Meersman
journals/tods/BellNNS96, Implementing Deductive Databases by Mixed Integer Programming,1996,ACM Trans. Database Syst.,Anil Nerode  Colin Bell  Raymond T. Ng  V. S. Subrahmanian
conf/vldb/HelmerM97, Evaluation of Main Memory Join Algorithms for Joins with Set Comparison Join Predicates,1997,VLDB,Guido Moerkotte  Sven Helmer
conf/sigmod/ChaudhuriKN03, On Relational Support for XML Publishing: Beyond Sorting and Tagging,2003,SIGMOD Conference,Raghav Kaushik  Jeffrey F. Naughton  Surajit Chaudhuri
conf/sigmod/LoR94, Spatial Joins Using Seeded Trees,1994,SIGMOD Conference,Chinya V. Ravishankar  Ming-Ling Lo
conf/sigmod/LuWYBLY02, XBase: making your gigabyte disk queriable,2002,SIGMOD Conference,Jianhua Lv  Yubin Bao  Hongjun Lu  Ge Yu  Guoren Wang  Yaxin Yu
journals/vldb/FiletoLPAM03, POESIA: An ontological workflow approach for composing Web services in agriculture,2003,VLDB J.,Ling Liu  Eduardo Delgado Assad  Calton Pu  Renato Fileto  Claudia Bauzer Medeiros
conf/vldb/GutierrezPST94, Database Graph Views: A Practical Model to Manage Persistent Graphs,1994,VLDB,Alejandro Guti�rrez  Philippe Pucheral  Jean-Marc Th�venin  Hermann Steffen
conf/vldb/OrensteinK95, Accessing a Relational Database through an Object-Oriented Database Interface,1995,VLDB,Jack A. Orenstein  D. N. Kamber
journals/sigmod/ShethMKA01, Research in Multi-Organizational Processes and Semantic Information Brokering at the LSDIS Lab,2001,SIGMOD Record,John A. Miller  Amit P. Sheth  Ismailcem Budak Arpinar  Krys Kochut
journals/sigmod/HellersteinHM03, The sensor spectrum: technology  trends  and requirements,2003,SIGMOD Record,Samuel Madden  Wei Hong  Joseph M. Hellerstein
conf/vldb/BaumgartnerFG01, Visual Web Information Extraction with Lixto,2001,VLDB,Georg Gottlob  Robert Baumgartner  Sergio Flesca
journals/tods/CliffordC94, On Completeness of Historical Relational Query Languages,1994,ACM Trans. Database Syst.,James Clifford  Albert Croker  Alexander Tuzhilin
conf/vldb/TsatalosSI94, The GMAP: A Versatile Tool for Physical Data Independence,1994,VLDB,Marvin H. Solomon  Yannis E. Ioannidis  Odysseas G. Tsatalos
journals/sigmod/Cardelli01, Describing Semistructured Data,2001,SIGMOD Record,Luca Cardelli
journals/sigmod/BernsteinDK99, Towards Adaptive Workflow Systems  CSCW-98 Workshop Report,1999,SIGMOD Record,Mark Klein  Abraham Bernstein  Chrysanthos Dellarocas
journals/vldb/GarofalakisOS98, On Periodic Resource scheduling for Continuous-Media Databases,1998,VLDB J.,Minos N. Garofalakis  Banu �zden  Abraham Silberschatz
journals/sigmod/ButtlerCCFHLPRX02, Querying Multiple Bioinformatics Data Sources: Can Semantic Web Research Help?,2002,SIGMOD Record,Terence Critchlow  Matthew Coleman  David Buttler  Wei Han  Daniel Rocco  Li Xiong  Ling Liu  Calton Pu  Renato Fileto
conf/vldb/LuoNEW03, Locking Protocols for Materialized Aggregate Join Views,2003,VLDB,Michael Watzke  Gang Luo  Curt Ellmann  Jeffrey F. Naughton
conf/sigmod/HungYK96, CapBasED-AMS: A Capability-based and Event-driven Activity Management System,1996,SIGMOD Conference,Kamalakar Karlapalem  Helen P. Yeung  Patrick C. K. Hung
conf/vldb/DoDJJR98, Issues in Developing Very Large Data Warehouses,1998,VLDB,Vish Jumani  Lyman Do  David Van Rossum  Pamela Drew  Wei Jin
conf/sigmod/RamaswamyRS00, Efficient Algorithms for Mining Outliers from Large Data Sets,2000,SIGMOD Conference,Kyuseok Shim  Sridhar Ramaswamy  Rajeev Rastogi
conf/sigmod/MumickQM97, Maintenance of Data Cubes and Summary Tables in a Warehouse,1997,SIGMOD Conference,Inderpal Singh Mumick  Dallan Quass  Barinderpal Singh Mumick
journals/vldb/LandauST95, Historical Queries Along Multiple Lines of Time Evolution,1995,VLDB J.,Vassilis J. Tsotras  Gad M. Landau  Jeanette P. Schmidt
journals/sigmod/BarbaraBFLS94, The Impact of Database Research on Industrial Products (Panel Summary),1994,SIGMOD Record,David B. Lomet  Daniel Barbar�  Jos� A. Blakeley  Michael Stonebraker  Daniel H. Fishman
conf/sigmod/Chamberlin03, XQuery: A Query Language for XML,2003,SIGMOD Conference,Donald D. Chamberlin
conf/vldb/HvasshovdTBH95, The ClustRa Telecom Database: High Availability  High Throughput  and Real-Time Response,1995,VLDB,Svein-Olaf Hvasshovd  �ystein Torbj�rnsen  Svein Erik Bratsberg  Per Holager
conf/sigmod/Mamoulis03, Efficient Processing of Joins on Set-valued Attributes,2003,SIGMOD Conference,Nikos Mamoulis
conf/sigmod/ChristophidesCM96, Evaluating Queries with Generalized Path Expressions,1996,SIGMOD Conference,Guido Moerkotte  Sophie Cluet  Vassilis Christophides
journals/sigmod/PissinouSEMOPSTD94, Towards an Infrastructure for Temporal Databases: Report of an Invitational ARPA/NSF Workshop,1994,SIGMOD Record,Ramez Elmasri  Richard T. Snodgrass  Babis Theodoulidis  Inderpal Singh Mumick  Arie Segev  M. Tamer �zsu  Umeshwar Dayal  Niki Pissinou  Barbara Pernici
journals/sigmod/AbererCDDHPS03, P-Grid: a self-organizing structured P2P system,2003,SIGMOD Record,Zoran Despotovic  Manfred Hauswirth  Karl Aberer  Philippe Cudr�-Mauroux  Magdalena Punceva  Anwitaman Datta  Roman Schmidt
journals/sigmod/YaoG02, The Cougar Approach to In-Network Query Processing in Sensor Networks,2002,SIGMOD Record,Johannes Gehrke  Yong Yao
journals/sigmod/Neven02, Automata Theory for XML Researchers,2002,SIGMOD Record,Frank Neven
journals/sigmod/ACT-NET96, ACT-NET - The Active Database Management System Manifesto: A Rulebase of ADBMS Features,1996,SIGMOD Record,?
journals/sigmod/GolabO03, Issues in data stream management,2003,SIGMOD Record,Lukasz Golab  M. Tamer �zsu
journals/sigmod/SnodgrassAABCDEGJKKKLLRSSS94, TSQL2 Language Specification,1994,SIGMOD Record,Wolfgang K�fer  Curtis E. Dyreson  Arie Segev  Krishna G. Kulkarni  Michael D. Soo  Don S. Batory  Ramez Elmasri  Nikos A. Lorentzos  Nick Kline  John F. Roddick  Gad Ariav  James Clifford  Richard T. Snodgrass  Suryanarayana M. Sripada  T. Y. Cliff Leung  Fabio Grandi  Ilsoo Ahn  Christian S. Jensen
conf/sigmod/AtzeniT97, MDM: a Multiple-Data-Model Tool for the Management of Heterogeneous Database Schemes,1997,SIGMOD Conference,Paolo Atzeni  Riccardo Torlone
conf/sigmod/KriegelMPS01, Spatial Data Management for Computer Aided Design,2001,SIGMOD Conference,Andreas M�ller  Marco P�tke  Thomas Seidl  Hans-Peter Kriegel
conf/vldb/HelmerNM03, Estimating the Output Cardinality of Partial Preaggregation with a Measure of Clusteredness,2003,VLDB,Guido Moerkotte  Thomas Neumann  Sven Helmer
conf/vldb/Brodie03, Illuminating the Dark Side of Web Services,2003,VLDB,Michael L. Brodie
conf/vldb/ShatdalKN94, Cache Conscious Algorithms for Relational Query Processing,1994,VLDB,Jeffrey F. Naughton  Ambuj Shatdal  Chander Kant
conf/sigmod/KalnisP01, Proxy-Server Architectures for OLAP,2001,SIGMOD Conference,Panos Kalnis  Dimitris Papadias
journals/tods/WangBBJ97, Logical Design for Temporal Databases with Multiple Granularities,1997,ACM Trans. Database Syst.,Alexander Brodsky  Sushil Jajodia  Claudio Bettini  Xiaoyang Sean Wang
conf/vldb/BohannonFHRRS02, LegoDB: Customizing Relational Storage for XML Documents,2002,VLDB,Prasan Roy  Philip Bohannon  Jayant R. Haritsa  J�r�me Sim�on  Maya Ramanath  Juliana Freire
journals/vldb/IvesHW02, An XML query engine for network-bound data,2002,VLDB J.,Daniel S. Weld  Alon Y. Halevy  Zachary G. Ives
conf/vldb/MedianoCD94, V-Trees - A Storage Method for Long Vector Data,1994,VLDB,Maur�cio R. Mediano  Marcelo Dreux  Marco A. Casanova
conf/sigmod/Mohan01, Application Servers: Born-Again TP Monitors for the Web? (Panel Abstract),2001,SIGMOD Conference,C. Mohan
conf/vldb/AilamakiDHW99, DBMSs on a Modern Processor: Where Does Time Go?,1999,VLDB,David A. Wood  Mark D. Hill  David J. DeWitt  Anastassia Ailamaki
conf/vldb/Kornacker99, High-Performance Extensible Indexing,1999,VLDB,Marcel Kornacker
journals/sigmod/Kim99, Message from Editor-in-Chief  ACM Transactions on Database Systems,1999,SIGMOD Record,Won Kim
journals/sigmod/FrewD97, Data Management for Earth System Science,1997,SIGMOD Record,James Frew  Jeff Dozier
conf/vldb/GoldmanW97, DataGuides: Enabling Query Formulation and Optimization in Semistructured Databases,1997,VLDB,Roy Goldman  Jennifer Widom
conf/sigmod/RajagopalanML98, Approximate Medians and other Quantiles in One Pass and with Limited Memory,1998,SIGMOD Conference,Bruce G. Lindsay  Gurmeet Singh Manku  Sridhar Rajagopalan
conf/vldb/TriantafillouP97, On-Demand Data Elevation in Hierarchical Multimedia Storage Servers,1997,VLDB,Thomas Papadakis  Peter Triantafillou
conf/vldb/LitwinNS94, RP*: A Family of Order Preserving Scalable Distributed Data Structures,1994,VLDB,Witold Litwin  Marie-Anne Neimat  Donovan A. Schneider
journals/vldb/WidomS00, Foreword by the VLDB '98 PC Chairmen: Best Papers of VLDB '98,2000,VLDB J.,Oded Shmueli  Jennifer Widom
conf/sigmod/Bonnet02, Going public: open-source databases and database research,2002,SIGMOD Conference,Philippe Bonnet
journals/sigmod/FrankGGJKLMNPSSSTW99, Chorochronos: A Research Network for Spatiotemporal Database Systems,1999,SIGMOD Record,Enrico Nardelli  Timos K. Sellis  Andrew U. Frank  St�phane Grumbach  Hans-J�rg Schek  Manolis Koubarakis  Michel Scholl  Ralf Hartmut G�ting  Barbara Pernici  Christian S. Jensen  Nikos A. Lorentzos  Babis Theodoulidis  Yannis Manolopoulos  Peter Widmayer
conf/sigmod/AgichteinG03, QXtract: A Building Block for Efficient Information Extraction from Plain-Text Databases,2003,SIGMOD Conference,Luis Gravano  Eugene Agichtein
journals/sigmod/JajodiaBBKMSW97, Information Systems Research at George Mason University,1997,SIGMOD Record,Sushil Jajodia  Amihai Motro  Edgar H. Sibley  Alexander Brodsky  Larry Kerschberg  Xiaoyang Sean Wang  Daniel Barbar�
